	Date	Temperature (C)	CO2	Battery
0	2021-06-18 15:30:05	21.61	807.4	12.0
1	2021-06-18 16:00:11	21.71	601.7	11.99
2	2021-06-18 16:30:08	22.06	617.2	11.99
3	2021-06-18 17:00:05	21.91	628.6	11.99
4	2021-06-18 17:30:11	22.28	652.2	11.99
5	2021-06-18 18:00:08	22.21	591.9	11.99
6	2021-06-18 18:30:05	22.48	458.0	11.99
7	2021-06-18 19:00:11	22.48	456.4	11.99
8	2021-06-18 19:30:08	22.53	446.8	12.0
9	2021-06-18 20:00:05	22.43	361.2	11.99
10	2021-06-18 20:30:11	22.46	377.4	12.0
11	2021-06-18 21:00:08	22.26	345.9	11.99
12	2021-06-18 21:30:05	22.21	334.5	11.99
13	2021-06-18 22:00:11	22.21	348.3	11.99
14	2021-06-18 22:30:08	22.03	346.2	11.99
15	2021-06-18 23:00:05	21.83	353.8	11.99
16	2021-06-18 23:30:11	21.71	333.6	11.99
17	2021-06-19 00:00:08	21.58	342.6	11.99
18	2021-06-19 00:30:05	21.44	397.1	11.99
19	2021-06-19 01:00:11	21.53	439.0	11.99
20	2021-06-19 01:30:08	21.31	463.6	11.99
21	2021-06-19 02:00:05	21.04	492.9	11.99
22	2021-06-19 02:30:11	20.92	622.8	11.99
23	2021-06-19 03:00:08	20.87	682.6	11.98
24	2021-06-19 03:30:05	20.77	717.6	11.98
25	2021-06-19 04:00:11	20.77	788.2	11.98
26	2021-06-19 04:30:08	21.06	762.9	11.98
27	2021-06-19 05:00:05	20.72	769.2	11.98
28	2021-06-19 05:30:11	20.77	759.8	11.98
29	2021-06-19 06:00:08	20.67	766.4	11.98
30	2021-06-19 06:30:05	20.79	815.4	11.98
31	2021-06-19 07:00:11	20.74	825.1	11.98
32	2021-06-19 07:30:08	20.72	833.6	11.98
33	2021-06-19 08:00:05	20.82	854.0	11.98
34	2021-06-19 08:30:11	20.89	813.1	11.98
35	2021-06-19 09:00:08	21.06	780.5	11.98
36	2021-06-19 09:30:05	21.04	735.9	11.98
37	2021-06-19 10:00:11	20.99	744.3	11.98
38	2021-06-19 10:30:08	20.99	745.2	11.98
39	2021-06-19 11:00:05	20.97	757.7	11.98
40	2021-06-19 11:30:11	20.99	765.3	11.98
41	2021-06-19 12:00:08	20.89	798.7	11.98
42	2021-06-19 12:30:05	20.79	842.5	11.98
43	2021-06-19 13:00:11	20.97	896.5	11.98
44	2021-06-19 13:30:08	21.21	885.1	11.98
45	2021-06-19 14:00:05	21.41	872.8	11.98
46	2021-06-19 14:30:11	21.46	848.9	11.98
47	2021-06-19 15:00:08	21.61	801.4	11.99
48	2021-06-19 15:30:05	21.81	736.4	11.99
49	2021-06-19 16:00:11	22.03	698.3	11.99
50	2021-06-19 16:30:08	22.23	674.3	11.99
51	2021-06-19 17:00:05	22.38	635.9	11.99
52	2021-06-19 17:30:11	22.56	633.8	11.99
53	2021-06-19 18:00:08	22.56	592.0	11.99
54	2021-06-19 18:30:05	22.61	560.0	11.99
55	2021-06-19 19:00:11	22.84	515.6	11.99
56	2021-06-19 19:30:08	22.84	382.3	11.99
57	2021-06-19 20:00:05	22.79	418.3	11.99
58	2021-06-19 20:30:11	22.69	439.4	11.99
59	2021-06-19 21:00:08	22.48	419.9	11.99
60	2021-06-19 21:30:05	22.36	374.9	11.99
61	2021-06-19 22:00:11	22.31	402.5	11.99
62	2021-06-19 22:30:08	22.13	395.7	11.99
63	2021-06-19 23:00:05	22.06	406.8	11.98
64	2021-06-19 23:30:11	22.01	413.2	11.99
65	2021-06-20 00:00:08	22.08	451.4	11.98
66	2021-06-20 00:30:05	21.73	452.0	11.98
67	2021-06-20 01:00:11	21.91	471.3	11.98
68	2021-06-20 01:30:08	21.88	469.0	11.98
69	2021-06-20 02:00:05	21.78	526.5	11.98
70	2021-06-20 02:30:11	21.44	611.9	11.98
71	2021-06-20 03:00:08	21.61	699.5	11.98
72	2021-06-20 03:30:05	21.58	638.8	11.98
73	2021-06-20 04:00:11	21.31	786.5	11.98
74	2021-06-20 04:30:08	21.26	897.8	11.98
75	2021-06-20 05:00:05	20.97	972.0	11.98
76	2021-06-20 05:30:11	21.09	1159.7	11.97
77	2021-06-20 06:00:08	20.89	1227.3	11.97
78	2021-06-20 06:30:05	21.09	1228.5	11.97
79	2021-06-20 07:00:11	21.26	1157.4	11.97
80	2021-06-20 07:30:08	21.16	1290.4	11.97
81	2021-06-20 08:00:05	21.06	1236.1	11.97
82	2021-06-20 08:30:11	21.04	1105.4	11.97
83	2021-06-20 09:00:08	20.89	1108.9	11.97
84	2021-06-20 09:30:05	21.11	1178.0	11.97
85	2021-06-20 10:00:11	21.19	1124.1	11.97
86	2021-06-20 10:30:08	21.19	1083.7	11.97
87	2021-06-20 11:00:05	21.36	1091.0	11.97
88	2021-06-20 11:30:11	21.39	1038.7	11.97
89	2021-06-20 12:00:08	21.36	1085.2	11.97
90	2021-06-20 12:30:05	21.58	1136.6	11.97
91	2021-06-20 13:00:11	21.53	1186.4	11.97
92	2021-06-20 13:30:08	21.44	1201.4	11.97
93	2021-06-20 14:00:05	21.66	1255.7	11.97
94	2021-06-20 14:30:11	21.93	1172.4	11.97
95	2021-06-20 15:00:08	22.26	1106.8	11.97
96	2021-06-20 15:30:05	22.26	905.1	11.97
97	2021-06-20 16:00:11	22.81	911.9	11.97
98	2021-06-20 16:30:08	22.84	874.0	11.98
99	2021-06-20 17:00:05	22.74	785.9	11.98
100	2021-06-20 17:30:11	23.07	806.6	11.98
101	2021-06-20 18:00:08	23.17	736.6	11.98
102	2021-06-20 18:30:05	23.32	673.0	11.98
103	2021-06-20 19:00:11	23.55	665.6	11.98
104	2021-06-20 19:30:08	23.37	466.3	11.98
105	2021-06-20 20:00:05	23.6	418.4	11.98
106	2021-06-20 20:30:11	23.5	399.9	11.98
107	2021-06-20 21:00:08	23.37	394.9	11.98
108	2021-06-20 21:30:05	23.22	357.9	11.98
109	2021-06-20 22:00:11	23.14	396.1	11.97
110	2021-06-20 22:30:08	22.99	388.2	11.97
111	2021-06-20 23:00:05	23.01	396.0	11.97
112	2021-06-20 23:30:11	22.86	444.4	11.97
113	2021-06-21 00:00:08	22.56	436.5	11.97
114	2021-06-21 00:30:05	22.56	484.5	11.97
115	2021-06-21 01:00:11	22.41	502.4	11.97
116	2021-06-21 01:30:08	22.36	518.2	11.96
117	2021-06-21 02:00:05	21.68	588.3	11.96
118	2021-06-21 02:30:11	21.53	754.7	11.96
119	2021-06-21 03:00:08	21.73	796.9	11.96
120	2021-06-21 03:30:05	21.76	1012.0	11.96
121	2021-06-21 04:00:11	21.68	1090.8	11.96
122	2021-06-21 04:30:08	21.41	1236.5	11.96
123	2021-06-21 05:00:05	21.46	1348.0	11.96
124	2021-06-21 05:30:11	21.53	1498.2	11.96
125	2021-06-21 06:00:08	21.63	1503.1	11.96
126	2021-06-21 06:30:05	21.61	1498.7	11.95
127	2021-06-21 07:00:11	21.63	1481.4	11.95
128	2021-06-21 07:30:08	21.68	1519.3	11.95
129	2021-06-21 08:00:05	21.76	1400.3	11.96
130	2021-06-21 08:30:11	21.78	1358.7	11.95
131	2021-06-21 09:00:08	21.78	1432.4	11.95
132	2021-06-21 09:30:05	21.93	1339.0	11.96
133	2021-06-21 10:00:11	21.98	1306.6	11.95
134	2021-06-21 10:30:08	22.08	1092.1	11.95
135	2021-06-21 11:00:05	22.13	988.7	11.95
136	2021-06-21 11:30:11	22.16	1021.8	11.96
137	2021-06-21 12:00:08	22.08	1030.7	11.96
138	2021-06-21 12:30:05	22.18	982.0	11.96
139	2021-06-21 13:00:11	22.41	879.1	11.95
140	2021-06-21 13:30:08	22.43	895.5	11.95
141	2021-06-21 14:00:05	22.48	873.0	11.96
142	2021-06-21 14:30:11	22.41	889.2	11.96
143	2021-06-21 15:00:08	22.41	934.7	11.95
144	2021-06-21 15:30:05	22.43	923.7	11.96
145	2021-06-21 16:00:11	22.51	901.3	11.95
146	2021-06-21 16:30:08	22.46	865.3	11.95
147	2021-06-21 17:00:05	22.38	705.3	11.95
148	2021-06-21 17:30:11	22.38	644.0	11.95
149	2021-06-21 18:00:08	22.31	602.8	11.95
150	2021-06-21 18:30:05	22.33	545.9	11.95
151	2021-06-21 19:00:11	22.31	523.7	11.95
152	2021-06-21 19:30:08	22.23	504.5	11.95
153	2021-06-21 20:00:05	22.23	583.1	11.95
154	2021-06-21 20:30:11	22.23	540.6	11.95
155	2021-06-21 21:00:08	22.23	559.8	11.95
156	2021-06-21 21:30:05	22.23	566.8	11.95
157	2021-06-21 22:00:11	22.26	588.1	11.95
158	2021-06-21 22:30:08	22.21	618.3	11.95
159	2021-06-21 23:00:05	22.21	635.8	11.95
160	2021-06-21 23:30:11	22.21	659.6	11.95
161	2021-06-22 00:00:08	22.18	689.1	11.95
162	2021-06-22 00:30:05	22.16	699.1	11.95
163	2021-06-22 01:00:11	22.11	696.5	11.94
164	2021-06-22 01:30:08	22.03	714.8	11.94
165	2021-06-22 02:00:05	21.96	763.2	11.95
166	2021-06-22 02:30:11	21.96	858.0	11.94
167	2021-06-22 03:00:08	21.93	884.0	11.94
168	2021-06-22 04:00:11	21.83	960.4	11.96
169	2021-06-22 04:30:08	21.78	1090.9	11.96
170	2021-06-22 05:00:05	21.61	1405.2	11.95
171	2021-06-22 05:30:11	21.56	1517.2	11.95
172	2021-06-22 06:00:08	21.36	1663.2	11.95
173	2021-06-22 06:30:05	21.34	1786.2	11.94
174	2021-06-22 07:00:11	21.21	1879.5	11.94
175	2021-06-22 07:30:08	21.24	1981.5	11.94
176	2021-06-22 08:00:05	21.36	1967.2	11.93
177	2021-06-22 08:30:11	21.41	1810.0	11.93
178	2021-06-22 09:00:08	21.39	1730.9	11.93
179	2021-06-22 09:30:05	21.41	1703.2	11.93
180	2021-06-22 10:00:11	21.41	1681.6	11.93
181	2021-06-22 10:30:08	21.51	1625.0	11.93
182	2021-06-22 11:00:05	21.48	1575.0	11.93
183	2021-06-22 11:30:11	21.63	1505.3	11.93
184	2021-06-22 12:00:08	21.61	1415.2	11.93
185	2021-06-22 12:30:05	21.76	1316.6	11.93
186	2021-06-22 13:00:11	21.63	1276.6	11.93
187	2021-06-22 13:30:08	22.06	1207.6	11.93
188	2021-06-22 14:00:05	22.13	1117.4	11.93
189	2021-06-22 14:30:11	22.36	1052.8	11.93
190	2021-06-22 15:00:08	22.38	1015.2	11.93
191	2021-06-22 15:30:05	22.74	998.9	11.93
192	2021-06-22 16:00:11	22.89	956.3	11.93
193	2021-06-22 16:30:08	22.99	930.2	11.93
194	2021-06-22 17:00:05	23.27	942.6	11.93
195	2021-06-22 17:30:11	23.12	895.1	11.93
196	2021-06-22 18:00:08	23.12	675.4	11.93
197	2021-06-22 18:30:05	22.81	497.5	11.93
198	2021-06-22 19:00:11	22.66	346.2	11.93
199	2021-06-22 19:30:08	22.76	376.6	11.93
200	2021-06-22 20:00:05	22.69	329.9	11.93
201	2021-06-22 20:30:11	22.86	407.7	11.93
202	2021-06-22 21:00:08	22.84	328.9	11.93
203	2021-06-22 21:30:05	22.79	393.2	11.93
204	2021-06-22 22:00:11	22.28	510.4	11.93
205	2021-06-22 22:30:08	22.61	555.4	11.92
206	2021-06-22 23:00:05	22.53	590.0	11.92
207	2021-06-22 23:30:11	22.51	604.6	11.92
208	2021-06-23 00:00:08	22.38	636.3	11.92
209	2021-06-23 00:30:05	22.31	666.6	11.92
210	2021-06-23 01:00:11	22.31	627.5	11.92
211	2021-06-23 01:30:08	22.21	677.3	11.92
212	2021-06-23 02:00:05	21.91	664.9	11.92
213	2021-06-23 02:30:11	22.08	728.4	11.92
214	2021-06-23 03:00:08	22.08	715.9	11.92
215	2021-06-23 03:30:05	21.81	758.4	11.92
216	2021-06-23 04:00:11	21.91	896.9	11.92
217	2021-06-23 04:30:08	21.96	992.1	11.92
218	2021-06-23 05:00:05	21.73	852.3	11.92
219	2021-06-23 05:30:11	21.41	1108.9	11.91
220	2021-06-23 06:00:08	21.29	1243.5	11.91
221	2021-06-23 06:30:05	21.16	1468.3	11.91
222	2021-06-23 07:00:11	21.34	1510.1	11.91
223	2021-06-23 07:30:08	21.16	1416.0	11.91
224	2021-06-23 08:00:05	21.04	1203.4	11.91
225	2021-06-23 08:30:11	21.26	1118.6	11.91
226	2021-06-23 09:00:08	21.19	1126.2	11.91
227	2021-06-23 09:30:05	20.47	1812.5	11.91
231	2021-06-23 11:30:11	20.77	1806.0	11.9
232	2021-06-23 12:00:08	20.7	1940.6	11.9
233	2021-06-23 12:30:05	20.84	1853.2	11.9
234	2021-06-23 13:00:11	20.92	1637.7	11.9
235	2021-06-23 13:30:08	21.09	1571.3	11.9
236	2021-06-23 14:00:05	21.02	1538.6	11.9
237	2021-06-23 14:30:11	21.21	1533.8	11.9
238	2021-06-23 15:00:08	21.36	1446.7	11.9
239	2021-06-23 15:30:05	21.61	1345.9	11.9
240	2021-06-23 16:00:11	21.76	1261.0	11.9
241	2021-06-23 16:30:08	21.78	1301.2	11.9
242	2021-06-23 17:00:05	21.91	1385.3	11.9
243	2021-06-23 17:30:11	21.83	1713.0	11.9
244	2021-06-23 18:00:08	22.01	1690.2	11.9
245	2021-06-23 18:30:05	22.08	1382.7	11.9
246	2021-06-23 19:00:11	22.11	1485.7	11.91
247	2021-06-23 19:30:08	22.16	1261.7	11.9
248	2021-06-23 20:00:05	22.33	1186.7	11.91
249	2021-06-23 20:30:11	22.48	973.9	11.91
250	2021-06-23 21:00:08	22.81	721.0	11.91
251	2021-06-23 21:30:05	22.84	559.0	11.91
252	2021-06-23 22:00:11	22.89	520.3	11.91
253	2021-06-23 22:30:08	22.76	439.9	11.91
254	2021-06-23 23:00:05	22.58	537.8	11.91
255	2021-06-23 23:30:11	22.38	613.7	11.9
256	2021-06-24 00:00:08	22.51	633.7	11.9
257	2021-06-24 00:30:05	22.21	636.9	11.9
258	2021-06-24 01:00:11	22.46	657.5	11.9
259	2021-06-24 01:30:08	22.46	655.3	11.9
260	2021-06-24 02:00:05	22.38	684.7	11.9
261	2021-06-24 02:30:11	22.38	686.6	11.9
262	2021-06-24 03:00:08	22.31	701.0	11.9
263	2021-06-24 03:30:05	22.23	735.3	11.89
264	2021-06-24 04:00:11	22.23	744.5	11.89
265	2021-06-24 04:30:08	22.08	727.8	11.89
266	2021-06-24 05:00:05	21.93	726.9	11.89
267	2021-06-24 05:30:11	21.66	764.0	11.89
268	2021-06-24 06:00:08	21.51	1049.5	11.89
269	2021-06-24 06:30:05	21.39	1219.7	11.89
270	2021-06-24 07:00:11	21.21	1489.4	11.89
271	2021-06-24 07:30:08	21.31	1713.6	11.89
272	2021-06-24 08:00:05	21.21	1934.9	11.88
273	2021-06-24 08:30:11	21.04	2080.6	11.89
274	2021-06-24 09:00:08	21.11	2216.7	11.88
275	2021-06-24 09:30:05	21.19	2217.0	11.88
276	2021-06-24 10:00:11	21.46	1947.5	11.88
277	2021-06-24 10:30:08	21.44	2033.4	11.88
278	2021-06-24 11:00:05	21.36	1793.5	11.88
279	2021-06-24 11:30:11	21.31	1957.9	11.88
280	2021-06-24 12:00:08	21.16	1804.5	11.88
281	2021-06-24 12:30:05	21.24	1620.1	11.88
282	2021-06-24 13:00:11	21.44	1563.9	11.88
283	2021-06-24 13:30:08	22.13	1353.9	11.88
284	2021-06-24 14:00:05	21.78	1334.8	11.88
285	2021-06-24 14:30:11	21.98	1277.2	11.89
286	2021-06-24 15:00:08	22.23	1419.5	11.89
287	2021-06-24 15:30:05	22.23	1238.1	11.89
288	2021-06-24 16:00:11	22.74	1154.7	11.89
289	2021-06-24 16:30:08	22.76	911.7	11.89
290	2021-06-24 17:00:05	22.74	952.6	11.89
291	2021-06-24 17:30:11	22.86	903.0	11.89
292	2021-06-24 18:00:08	22.89	885.8	11.89
293	2021-06-24 18:30:05	23.07	879.2	11.89
294	2021-06-24 19:00:11	23.01	860.4	11.89
295	2021-06-24 19:30:08	23.14	939.5	11.89
296	2021-06-24 20:00:05	23.24	873.8	11.89
297	2021-06-24 20:30:11	23.14	807.8	11.89
298	2021-06-24 21:00:08	23.07	618.3	11.89
299	2021-06-24 21:30:05	23.19	599.9	11.89
300	2021-06-24 22:00:11	22.96	469.7	11.89
301	2021-06-24 22:30:08	22.99	496.5	11.89
302	2021-06-24 23:00:05	22.86	466.3	11.89
303	2021-06-24 23:30:11	22.89	479.0	11.88
304	2021-06-25 00:00:08	22.76	471.2	11.88
305	2021-06-25 00:30:05	22.56	497.4	11.88
306	2021-06-25 01:00:11	22.36	455.4	11.88
307	2021-06-25 01:30:08	22.58	501.8	11.88
308	2021-06-25 02:00:05	22.66	513.3	11.88
309	2021-06-25 02:30:11	22.08	542.7	11.88
310	2021-06-25 03:00:08	22.03	533.1	11.88
311	2021-06-25 03:30:05	21.73	545.7	11.88
312	2021-06-25 04:00:11	21.66	568.3	11.87
313	2021-06-25 04:30:08	21.83	549.1	11.87
314	2021-06-25 05:00:05	21.71	543.1	11.87
315	2021-06-25 05:30:11	21.53	547.6	11.87
316	2021-06-25 06:00:08	21.81	582.4	11.87
317	2021-06-25 06:30:05	21.73	607.3	11.87
318	2021-06-25 07:00:11	21.34	643.2	11.87
319	2021-06-25 07:30:08	21.29	742.1	11.87
320	2021-06-25 08:00:05	21.02	728.7	11.86
321	2021-06-25 08:30:11	20.77	1198.5	11.86
322	2021-06-25 09:00:08	20.97	1389.1	11.86
323	2021-06-25 09:30:05	20.97	1473.8	11.86
324	2021-06-25 10:00:11	21.09	1579.9	11.86
325	2021-06-25 10:30:08	21.16	1806.2	11.86
326	2021-06-25 11:00:05	21.06	1665.5	11.86
327	2021-06-25 11:30:11	21.31	1680.3	11.86
328	2021-06-25 12:00:08	21.29	1599.0	11.86
329	2021-06-25 12:30:05	21.34	1608.9	11.86
330	2021-06-25 13:00:11	21.36	1484.1	11.86
331	2021-06-25 13:30:08	21.58	1447.2	11.86
332	2021-06-25 14:00:05	21.66	1288.9	11.86
333	2021-06-25 14:30:11	21.58	1191.8	11.86
334	2021-06-25 15:00:08	21.71	1093.2	11.86
335	2021-06-25 15:30:05	21.93	1023.7	11.87
336	2021-06-25 16:30:08	22.08	883.1	11.89
337	2021-06-25 17:00:05	22.11	905.3	11.88
338	2021-06-25 17:30:11	22.48	885.4	11.88
339	2021-06-25 18:00:08	22.41	801.3	11.88
340	2021-06-25 18:30:05	22.48	763.6	11.88
341	2021-06-25 19:00:11	22.36	788.2	11.87
342	2021-06-25 19:30:08	22.23	783.4	11.87
343	2021-06-25 20:00:05	22.46	816.9	11.87
344	2021-06-25 20:30:11	22.43	684.3	11.87
345	2021-06-25 21:00:08	22.31	640.3	11.87
346	2021-06-25 21:30:05	22.21	524.6	11.87
347	2021-06-25 22:00:11	22.06	461.7	11.86
348	2021-06-25 22:30:08	21.78	442.4	11.86
349	2021-06-25 23:00:05	21.88	518.8	11.86
350	2021-06-25 23:30:11	21.76	571.1	11.85
351	2021-06-26 00:00:08	21.71	589.0	11.86
352	2021-06-26 00:30:05	21.73	632.1	11.86
353	2021-06-26 01:00:11	21.63	667.4	11.85
354	2021-06-26 01:30:08	21.68	702.8	11.85
355	2021-06-26 02:00:05	21.73	701.3	11.85
356	2021-06-26 02:30:11	21.76	709.7	11.85
357	2021-06-26 03:00:08	21.76	728.1	11.85
358	2021-06-26 03:30:05	21.63	741.1	11.85
359	2021-06-26 04:00:11	21.71	770.2	11.85
360	2021-06-26 04:30:08	21.78	777.2	11.85
361	2021-06-26 05:00:05	21.71	819.6	11.85
362	2021-06-26 05:30:11	21.78	863.2	11.85
363	2021-06-26 06:00:08	21.71	902.8	11.85
364	2021-06-26 06:30:05	21.66	912.4	11.85
365	2021-06-26 07:00:11	21.61	903.6	11.85
366	2021-06-26 07:30:08	21.44	965.3	11.84
367	2021-06-26 08:00:05	21.39	1384.2	11.85
368	2021-06-26 08:30:11	21.31	1448.1	11.84
369	2021-06-26 09:00:08	21.24	1519.8	11.84
370	2021-06-26 09:30:05	21.19	1845.0	11.84
371	2021-06-26 10:00:11	21.19	1896.8	11.84
372	2021-06-26 10:30:08	21.19	1679.0	11.84
373	2021-06-26 11:00:05	21.16	1849.3	11.84
374	2021-06-26 11:30:11	21.11	1844.8	11.84
375	2021-06-26 12:00:08	21.19	1840.5	11.84
376	2021-06-26 12:30:05	21.34	1615.2	11.84
377	2021-06-26 13:00:11	21.34	1557.2	11.84
378	2021-06-26 13:30:08	21.34	1482.0	11.84
379	2021-06-26 14:00:05	21.41	1610.4	11.84
380	2021-06-26 14:30:11	21.46	1402.8	11.84
381	2021-06-26 15:00:08	21.61	1236.9	11.84
382	2021-06-26 15:30:05	21.53	1174.0	11.84
383	2021-06-26 16:00:11	21.53	1017.7	11.84
384	2021-06-26 16:30:08	21.68	984.9	11.84
385	2021-06-26 17:00:05	21.83	885.2	11.84
386	2021-06-26 17:30:11	22.01	863.0	11.84
387	2021-06-26 18:00:08	22.13	853.2	11.84
388	2021-06-26 18:30:05	22.51	793.6	11.84
389	2021-06-26 19:00:11	22.71	737.9	11.84
390	2021-06-26 19:30:08	22.69	676.4	11.84
391	2021-06-26 20:00:05	22.86	685.3	11.84
392	2021-06-26 20:30:11	22.81	673.6	11.84
393	2021-06-26 21:00:08	22.71	691.2	11.84
394	2021-06-26 21:30:05	22.76	671.5	11.84
395	2021-06-26 22:00:11	22.74	645.7	11.84
396	2021-06-26 22:30:08	22.56	592.8	11.84
397	2021-06-26 23:00:05	22.51	568.1	11.84
398	2021-06-26 23:30:11	22.38	564.5	11.84
399	2021-06-27 00:00:08	22.36	580.6	11.84
400	2021-06-27 00:30:05	22.23	590.7	11.84
401	2021-06-27 01:00:11	22.23	580.6	11.84
402	2021-06-27 01:30:08	22.21	607.4	11.84
403	2021-06-27 02:00:05	22.31	649.4	11.84
404	2021-06-27 02:30:11	22.28	672.1	11.83
405	2021-06-27 03:00:08	22.36	674.0	11.83
406	2021-06-27 03:30:05	22.28	684.5	11.83
407	2021-06-27 04:00:11	22.36	695.8	11.83
408	2021-06-27 04:30:08	22.31	703.7	11.83
409	2021-06-27 05:00:05	22.31	736.6	11.83
410	2021-06-27 05:30:11	22.28	754.1	11.83
411	2021-06-27 06:00:08	22.28	805.3	11.83
412	2021-06-27 06:30:05	22.26	817.5	11.83
413	2021-06-27 07:00:11	22.18	870.2	11.83
414	2021-06-27 07:30:08	22.06	926.1	11.83
415	2021-06-27 08:00:05	22.16	1090.1	11.83
416	2021-06-27 08:30:11	22.03	1022.2	11.83
417	2021-06-27 09:00:08	21.93	1201.6	11.82
418	2021-06-27 09:30:05	21.88	1376.7	11.82
419	2021-06-27 10:00:11	21.83	1560.3	11.82
420	2021-06-27 10:30:08	21.81	1685.4	11.82
421	2021-06-27 11:00:05	21.81	1722.1	11.82
422	2021-06-27 11:30:11	21.81	1785.4	11.82
423	2021-06-27 12:00:08	21.88	1756.6	11.82
424	2021-06-27 12:30:05	21.96	1635.7	11.82
425	2021-06-27 13:00:11	22.03	1391.8	11.82
426	2021-06-27 13:30:08	22.08	1468.0	11.82
427	2021-06-27 14:00:05	22.13	1490.5	11.82
428	2021-06-27 14:30:11	22.21	1423.4	11.82
429	2021-06-27 15:00:08	22.33	1333.8	11.82
430	2021-06-27 15:30:05	22.46	1308.3	11.82
431	2021-06-27 16:00:11	22.48	1250.6	11.82
432	2021-06-27 16:30:08	22.48	1152.1	11.82
433	2021-06-27 17:00:05	22.48	1059.3	11.82
434	2021-06-27 17:30:11	22.66	1038.2	11.82
435	2021-06-27 18:00:08	22.61	918.6	11.82
436	2021-06-27 18:30:05	22.81	851.3	11.82
437	2021-06-27 19:00:11	22.64	684.5	11.82
438	2021-06-27 19:30:08	22.74	724.0	11.82
439	2021-06-27 20:00:05	22.79	689.0	11.82
440	2021-06-27 20:30:11	22.81	543.1	11.82
441	2021-06-27 21:00:08	22.81	516.6	11.82
442	2021-06-27 21:30:05	22.96	582.3	11.82
443	2021-06-27 22:00:11	22.91	563.9	11.82
444	2021-06-27 22:30:08	22.84	576.1	11.82
445	2021-06-27 23:00:05	22.69	519.3	11.82
446	2021-06-27 23:30:11	22.56	512.2	11.82
447	2021-06-28 00:00:08	22.46	424.5	11.82
448	2021-06-28 00:30:05	22.23	467.8	11.82
449	2021-06-28 01:00:11	22.23	551.4	11.82
450	2021-06-28 01:30:08	22.13	656.2	11.82
451	2021-06-28 02:00:05	22.11	683.3	11.82
452	2021-06-28 02:30:11	22.31	696.4	11.81
453	2021-06-28 03:00:08	22.01	722.0	11.81
454	2021-06-28 03:30:05	22.38	752.7	11.81
455	2021-06-28 04:00:11	22.33	723.7	11.81
456	2021-06-28 04:30:08	22.41	736.5	11.81
457	2021-06-28 05:00:05	22.51	740.2	11.81
458	2021-06-28 05:30:11	22.53	758.3	11.81
459	2021-06-28 06:00:08	22.48	765.4	11.81
460	2021-06-28 06:30:05	22.51	762.2	11.81
461	2021-06-28 07:00:11	22.46	825.0	11.81
462	2021-06-28 07:30:08	22.43	859.5	11.81
463	2021-06-28 08:00:05	22.33	905.9	11.81
464	2021-06-28 08:30:11	22.23	980.7	11.81
465	2021-06-28 09:00:08	22.06	1082.9	11.81
466	2021-06-28 09:30:05	21.91	1388.0	11.81
467	2021-06-28 10:00:11	21.96	1635.4	11.81
468	2021-06-28 10:30:08	22.06	1741.6	11.81
469	2021-06-28 11:00:05	22.08	1739.9	11.81
470	2021-06-28 11:30:11	22.08	1750.4	11.81
471	2021-06-28 12:00:08	22.13	1795.9	11.81
472	2021-06-28 12:30:05	22.13	1696.4	11.81
473	2021-06-28 13:00:11	22.16	1721.2	11.81
474	2021-06-28 13:30:08	22.23	1722.7	11.81
475	2021-06-28 14:00:05	22.36	1598.2	11.81
476	2021-06-28 14:30:11	22.46	1445.3	11.81
477	2021-06-28 15:00:08	22.56	1294.4	11.81
478	2021-06-28 15:30:05	22.61	1323.8	11.81
479	2021-06-28 16:00:11	22.71	1231.4	11.81
480	2021-06-28 16:30:08	22.84	1162.9	11.81
481	2021-06-28 17:00:05	23.01	1100.0	11.81
482	2021-06-28 17:30:11	23.12	1018.5	11.81
483	2021-06-28 18:00:08	23.01	987.0	11.81
484	2021-06-28 18:30:05	23.32	928.1	11.81
485	2021-06-28 19:00:11	23.63	882.6	11.81
486	2021-06-28 19:30:08	23.65	760.7	11.81
487	2021-06-28 20:00:05	23.81	624.9	11.81
488	2021-06-28 20:30:11	23.83	555.3	11.81
489	2021-06-28 21:00:08	23.75	522.1	11.81
490	2021-06-28 21:30:05	23.86	455.1	11.81
491	2021-06-28 22:00:11	23.78	487.0	11.81
492	2021-06-28 22:30:08	23.65	524.2	11.81
493	2021-06-28 23:00:05	23.5	550.4	11.81
494	2021-06-28 23:30:11	23.29	562.7	11.81
495	2021-06-29 00:00:08	23.04	555.2	11.81
496	2021-06-29 00:30:05	22.91	573.1	11.81
497	2021-06-29 01:00:11	22.58	582.2	11.81
498	2021-06-29 01:30:08	22.48	596.9	11.8
499	2021-06-29 02:00:05	22.66	598.8	11.8
500	2021-06-29 02:30:11	22.69	660.2	11.8
501	2021-06-29 03:00:08	22.76	706.2	11.8
502	2021-06-29 03:30:05	22.66	750.3	11.8
503	2021-06-29 04:00:11	22.79	728.0	11.8
504	2021-06-29 05:00:05	22.84	729.7	11.82
505	2021-06-29 05:30:11	22.81	761.7	11.82
506	2021-06-29 06:00:08	22.66	785.5	11.81
507	2021-06-29 06:30:05	22.79	891.4	11.81
508	2021-06-29 07:00:11	22.86	857.3	11.81
509	2021-06-29 07:30:08	22.84	907.1	11.81
510	2021-06-29 08:00:05	22.89	976.0	11.8
511	2021-06-29 08:30:11	22.74	1034.9	11.8
512	2021-06-29 09:00:08	22.53	1129.2	11.8
513	2021-06-29 09:30:05	22.53	1191.9	11.8
