Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out
137.7536,18.21,882.3,12.02,2022-05-17 18:05:11,11.65237,2022-05-17 18:06:18,31.383,2122.5118,1.5229668219500738
137.7952,18.26,955.9,12.02,2022-05-17 19:05:05,11.65237,2022-05-17 19:06:18,31.282,2116.9972,1.4179458923558785
137.8369,17.36,889.1,12.01,2022-05-17 20:05:08,11.65237,2022-05-17 20:06:18,32.0,2156.2,1.5591105975439536
137.8786,16.65,887.9,12.0,2022-05-17 21:05:11,11.65237,2022-05-17 21:06:18,32.441,2180.2786,1.5928480386017134
137.9202,16.37,728.0,12.0,2022-05-17 22:05:05,11.65237,2022-05-17 22:06:18,32.617000000000004,2189.8882000000003,1.8797194122237568
137.9619,16.37,706.6,11.99,2022-05-17 23:05:08,11.65237,2022-05-17 23:06:18,32.556,2186.5576,1.917023365586382
138.0036,15.81,690.4,11.99,2022-05-18 00:05:11,11.65237,2022-05-18 00:06:18,32.892,2204.9032,1.9807895999047924
138.0452,14.68,672.4,11.99,2022-05-18 01:05:05,11.65237,2022-05-18 01:06:18,33.422,2233.8412,2.0657101584995967
138.0869,14.66,689.3,11.98,2022-05-18 02:05:08,11.65237,2022-05-18 02:06:18,33.386,2231.8756000000003,2.0229969243697496
138.1286,14.96,709.7,11.98,2022-05-18 03:05:11,11.65237,2022-05-18 03:06:18,33.214,2222.4844000000003,1.9635219895783238
138.1702,15.26,785.3,11.98,2022-05-18 04:05:05,11.65237,2022-05-18 04:06:18,32.985,2209.981,1.795355600041177
138.2119,15.58,971.0,11.98,2022-05-18 05:05:08,11.65237,2022-05-18 05:06:18,32.449,2180.7154,1.4693009953868832
138.2536,15.67,1260.3,11.98,2022-05-18 06:05:11,11.65237,2022-05-18 06:06:18,32.034,2158.0564,1.1472260515478665
138.2952,15.58,1534.3,11.98,2022-05-18 07:05:05,11.65237,2022-05-18 07:06:18,31.778,2144.0788,0.9456453556777997
138.3369,15.53,1673.3,11.98,2022-05-18 08:05:08,11.65237,2022-05-18 08:06:18,31.826,2146.6996,0.8753485549016917
