Date 		Day	Time	Pred	High/Low
2021/01/01	Fri	06:32	0.97	H
2021/01/01	Fri	12:00	0.09	L
2021/01/01	Fri	18:34	1.14	H
2021/01/02	Sat	00:36	-0.04	L
2021/01/02	Sat	07:14	0.99	H
2021/01/02	Sat	12:43	0.08	L
2021/01/02	Sat	19:18	1.14	H
2021/01/03	Sun	01:19	-0.05	L
2021/01/03	Sun	07:56	1.00	H
2021/01/03	Sun	13:30	0.07	L
2021/01/03	Sun	20:03	1.13	H
2021/01/04	Mon	02:04	-0.04	L
2021/01/04	Mon	08:42	1.02	H
2021/01/04	Mon	14:20	0.07	L
2021/01/04	Mon	20:53	1.10	H
2021/01/05	Tue	02:52	-0.03	L
2021/01/05	Tue	09:31	1.04	H
2021/01/05	Tue	15:15	0.06	L
2021/01/05	Tue	21:47	1.07	H
2021/01/06	Wed	03:44	-0.01	L
2021/01/06	Wed	10:23	1.06	H
2021/01/06	Wed	16:13	0.05	L
2021/01/06	Wed	22:45	1.04	H
2021/01/07	Thu	04:38	0.01	L
2021/01/07	Thu	11:19	1.09	H
2021/01/07	Thu	17:14	0.03	L
2021/01/07	Thu	23:47	1.02	H
2021/01/08	Fri	05:35	0.02	L
2021/01/08	Fri	12:16	1.12	H
2021/01/08	Fri	18:16	0.00	L
2021/01/09	Sat	00:50	1.00	H
2021/01/09	Sat	06:33	0.03	L
2021/01/09	Sat	13:15	1.15	H
2021/01/09	Sat	19:18	-0.03	L
2021/01/10	Sun	01:55	1.00	H
2021/01/10	Sun	07:32	0.03	L
2021/01/10	Sun	14:14	1.18	H
2021/01/10	Sun	20:19	-0.07	L
2021/01/11	Mon	02:57	1.01	H
2021/01/11	Mon	08:30	0.02	L
2021/01/11	Mon	15:11	1.21	H
2021/01/11	Mon	21:16	-0.10	L
2021/01/12	Tue	03:55	1.03	H
2021/01/12	Tue	09:25	0.01	L
2021/01/12	Tue	16:05	1.22	H
2021/01/12	Tue	22:09	-0.13	L
2021/01/13	Wed	04:49	1.04	H
2021/01/13	Wed	10:18	-0.00	L
2021/01/13	Wed	16:57	1.22	H
2021/01/13	Wed	23:00	-0.13	L
2021/01/14	Thu	05:41	1.05	H
2021/01/14	Thu	11:09	0.00	L
2021/01/14	Thu	17:48	1.21	H
2021/01/14	Thu	23:49	-0.12	L
2021/01/15	Fri	06:30	1.04	H
2021/01/15	Fri	11:58	0.01	L
2021/01/15	Fri	18:38	1.18	H
2021/01/16	Sat	00:36	-0.09	L
2021/01/16	Sat	07:17	1.03	H
2021/01/16	Sat	12:47	0.04	L
2021/01/16	Sat	19:26	1.14	H
2021/01/17	Sun	01:21	-0.04	L
2021/01/17	Sun	08:03	1.02	H
2021/01/17	Sun	13:35	0.07	L
2021/01/17	Sun	20:13	1.08	H
2021/01/18	Mon	02:06	0.01	L
2021/01/18	Mon	08:48	1.00	H
2021/01/18	Mon	14:24	0.10	L
2021/01/18	Mon	21:01	1.02	H
2021/01/19	Tue	02:52	0.06	L
2021/01/19	Tue	09:35	0.98	H
2021/01/19	Tue	15:16	0.13	L
2021/01/19	Tue	21:52	0.97	H
2021/01/20	Wed	03:39	0.11	L
2021/01/20	Wed	10:23	0.96	H
2021/01/20	Wed	16:09	0.15	L
2021/01/20	Wed	22:45	0.92	H
2021/01/21	Thu	04:28	0.15	L
2021/01/21	Thu	11:12	0.96	H
2021/01/21	Thu	17:04	0.16	L
2021/01/21	Thu	23:40	0.88	H
2021/01/22	Fri	05:18	0.18	L
2021/01/22	Fri	12:03	0.95	H
2021/01/22	Fri	18:00	0.16	L
2021/01/23	Sat	00:36	0.86	H
2021/01/23	Sat	06:10	0.20	L
2021/01/23	Sat	12:55	0.96	H
2021/01/23	Sat	18:56	0.15	L
2021/01/24	Sun	01:34	0.85	H
2021/01/24	Sun	07:02	0.20	L
2021/01/24	Sun	13:48	0.99	H
2021/01/24	Sun	19:50	0.12	L
2021/01/25	Mon	02:28	0.86	H
2021/01/25	Mon	07:53	0.18	L
2021/01/25	Mon	14:37	1.02	H
2021/01/25	Mon	20:39	0.08	L
2021/01/26	Tue	03:17	0.89	H
2021/01/26	Tue	08:41	0.16	L
2021/01/26	Tue	15:23	1.06	H
2021/01/26	Tue	21:24	0.04	L
2021/01/27	Wed	04:02	0.92	H
2021/01/27	Wed	09:27	0.12	L
2021/01/27	Wed	16:06	1.10	H
2021/01/27	Wed	22:07	-0.01	L
2021/01/28	Thu	04:44	0.95	H
2021/01/28	Thu	10:10	0.08	L
2021/01/28	Thu	16:48	1.13	H
2021/01/28	Thu	22:48	-0.05	L
2021/01/29	Fri	05:25	0.99	H
2021/01/29	Fri	10:54	0.04	L
2021/01/29	Fri	17:30	1.16	H
2021/01/29	Fri	23:30	-0.08	L
2021/01/30	Sat	06:06	1.02	H
2021/01/30	Sat	11:38	0.01	L
2021/01/30	Sat	18:14	1.18	H
2021/01/31	Sun	00:12	-0.10	L
2021/01/31	Sun	06:48	1.05	H
2021/01/31	Sun	12:23	-0.02	L
2021/01/31	Sun	18:58	1.18	H
